CFR Part,Name of the Part,Year,Next.Edition,Name of the Part (Next Edition),lv_distances,presumed_same,same_next_edition
201,Discounts for and advances to member banks by Federal Reserve banks,1938,1949,Advances and discounts by Federal Reserve Banks,32,FALSE,201
202,"Open market purchases of bills of exchange, trade acceptances, bankers’ acceptances",1938,1949,"Open market purchases of bills of exchange, trade acceptances, bankers’ acceptances",0,TRUE,202
203,Acceptance by member banks of drafts and bills of exchange,1938,1949,Acceptance by member banks of drafts or bills of exchange,3,FALSE,203
204,Reserves of member banks,1938,1949,Reserves of member banks,0,TRUE,204
205,Purchase of warrants,1938,1949,Purchase of warrants,0,TRUE,205
206,Trust powers of national banks,1938,1949,Trust powers of national banks,0,TRUE,206
207,Rediscount of notes secured by adjusted service certificates,1938,1949,Collection of noncash items,46,FALSE,NA
208,Membership of State banking institutions in Federal Reserve System,1938,1949,Membership of State banking institutions in the Federal Reserve System,4,FALSE,208
209,Issue and cancelation of capital stock of Federal Reserve banks,1938,1949,Issue and cancellation of capital stock of Federal Reserve banks,1,TRUE,209
210,Check clearing and collection,1938,1949,Check clearing and collection,0,TRUE,210
211,"Banking corporations authorized to do foreign banking business under section 25 (a), Federal Reserve Act",1938,1949,Corporations doing foreign banking or other foreign financing under the Federal Reserve Act,54,FALSE,211
212,Interlocking bank directorates under the Clayton Act,1938,1949,Interlocking bank directorates under the Clayton Act,0,TRUE,212
213,"Foreign branches of national banks and of corporations organized under section 25 (a), Federal Reserve Act",1938,1949,"Foreign branches of national banks and of corporations organized under section 25 (a), Federal Reserve Act",0,TRUE,213
214,Relations with foreign banks and bankers,1938,1949,Relations with foreign banks and bankers,0,TRUE,214
215,Loans to executive officers of member banks,1938,1949,Loans to executive officers of member banks,0,TRUE,215
216,Holding company affiliates; voting permits,1938,1949,Holding company affiliates; voting permits,0,TRUE,216
217,Payment of interest on deposits,1938,1949,Payment of interest on deposits,0,TRUE,217
218,"Relations with dealers in securities under section 32, Banking Act of 1933",1938,1949,"Relations with dealers in securities under section 32, Banking Act of 1933",0,TRUE,218
219,Loans by Federal Reserve banks to industrial or commercial businesses,1938,1949,Industrial loans by Federal Reserve banks,49,FALSE,219
220,"Credit by brokers, dealers, members of national securities exchanges",1938,1949,"Credit by brokers, dealers, and members of national securities exchanges",4,FALSE,220
221,Loans by banks for the purpose of purchasing or carrying registered stocks,1938,1949,Loans by banks for the purpose of purchasing or carrying registered stocks,0,TRUE,221
285,Edge case number one,1938,1949,Edge case number one,0,TRUE,286
286,Edge case number three,1938,1949,Edge case number three,0,TRUE,NA
201,Advances and discounts by Federal Reserve Banks,1949,1959,Advances and discounts by Federal Reserve Banks,0,TRUE,201
202,"Open market purchases of bills of exchange, trade acceptances, bankers’ acceptances",1949,1959,"Open market purchases of bills of exchange, trade acceptances, bankers’ acceptances",0,TRUE,202
203,Acceptance by member banks of drafts or bills of exchange,1949,1959,Acceptance by member banks of drafts or bills of exchange,0,TRUE,203
204,Reserves of member banks,1949,1959,Reserves of member banks,0,TRUE,204
205,Purchase of warrants,1949,1959,Purchase of warrants,0,TRUE,205
206,Trust powers of national banks,1949,1959,Trust powers of national banks,0,TRUE,206
207,Collection of noncash items,1949,1959,Collection of noncash items,0,TRUE,207
208,Membership of State banking institutions in the Federal Reserve System,1949,1959,Membership of State banking institutions in the Federal Reserve System,0,TRUE,208
209,Issue and cancellation of capital stock of Federal Reserve banks,1949,1959,Issue and cancellation of capital stock of Federal Reserve banks,0,TRUE,209
210,Check clearing and collection,1949,1959,Check clearing and collection,0,TRUE,210
211,Corporations doing foreign banking or other foreign financing under the Federal Reserve Act,1949,1959,Corporations doing foreign banking or other foreign financing under the Federal Reserve Act,0,TRUE,211
212,Interlocking bank directorates under the Clayton Act,1949,1959,Interlocking bank directorates under the Clayton Act,0,TRUE,212
213,"Foreign branches of national banks and of corporations organized under section 25 (a), Federal Reserve Act",1949,1959,"Foreign branches of national banks and of corporations organized under section 25 (a), Federal Reserve Act",0,TRUE,213
214,Relations with foreign banks and bankers,1949,1959,Relations with foreign banks and bankers,0,TRUE,214
215,Loans to executive officers of member banks,1949,1959,Loans to executive officers of member banks,0,TRUE,215
216,Holding company affiliates; voting permits,1949,1959,Holding company affiliates; voting permits,0,TRUE,216
217,Payment of interest on deposits,1949,1959,Payment of interest on deposits,0,TRUE,217
218,"Relations with dealers in securities under section 32, Banking Act of 1933",1949,1959,"Relations with dealers in securities under section 32, Banking Act of 1933",0,TRUE,218
219,Industrial loans by Federal Reserve banks,1949,1959,Industrial loans by Federal Reserve banks,0,TRUE,219
220,"Credit by brokers, dealers, and members of national securities exchanges",1949,1959,"Credit by brokers, dealers, and members of national securities exchanges",0,TRUE,220
221,Loans by banks for the purpose of purchasing or carrying registered stocks,1949,1959,Loans by banks for the purpose of purchasing or carrying registered stocks,0,TRUE,221
222,Bank holding companies,1949,1959,Bank holding companies,0,TRUE,222
224,Discount rates,1949,1959,Discount rates,0,TRUE,224
261,"Information, submittals or requests",1949,1959,"Information, submittals or requests",0,TRUE,261
262,Rules of procedure,1949,1959,Rules of procedure,0,TRUE,262
263,Rules of practice for formal hearings,1949,1959,Rules of practice for formal hearings,0,TRUE,263
270,Open market operations of Federal Reserve Banks,1949,1959,Open market operations of Federal Reserve Banks,0,TRUE,270
271,"Information, submittals or requests",1949,1959,"Information, submittals or requests",0,TRUE,271
272,Rules on procedure,1949,1959,Rules on procedure,0,TRUE,272
281,Statements of policy,1949,1959,Statements of policy,0,TRUE,281
285,Edge case number two,1949,1959,Edge case number two,0,TRUE,285
286,Edge case number one,1949,1959,Edge case number one,0,TRUE,286
201,Advances and discounts by Federal Reserve Banks,1959,1963,Advances and discounts by Federal Reserve Banks.,1,TRUE,201
202,"Open market purchases of bills of exchange, trade acceptances, bankers’ acceptances",1959,1963,"Open market purchases of bills of exchange, trade acceptances, bankers’ acceptances.",1,TRUE,202
203,Acceptance by member banks of drafts or bills of exchange,1959,1963,Acceptance by member banks of drafts or bills of exchange.,1,TRUE,203
204,Reserves of member banks,1959,1963,Reserves of member banks.,1,TRUE,204
